date,start_date,end_date,brand,interview_mode,sample_size,primary_vote_lnp,primary_vote_alp,primary_vote_grn,primary_vote_onp,primary_vote_uap,primary_vote_oth,primary_vote_und,twopp_vote_alp,twopp_vote_lnp
31 Jan–13 Feb 2022,2022-01-31,2022-02-13,Roy Morgan,Telephone/online,2796,0.33,0.385,0.115,0.04,0.015,0.115,0,0.43,0.57
9–12 Feb 2022,2022-02-09,2022-02-12,Newspoll-YouGov,Online,1526,0.34,0.41,0.08,0.03,0,0.14,0,0.45,0.55
2–6 Feb 2022,2022-02-02,2022-02-06,Essential,Online,1069,0.37,0.35,0.09,0.04,0.02,0.05,0.08,0.46,0.47
27–30 Jan 2022,2022-01-27,2022-01-30,Newspoll-YouGov,Online,1523,0.34,0.41,0.11,0.03,0,0.11,0,0.44,0.56
17–30 Jan 2022,2022-01-17,2022-01-30,Roy Morgan,Telephone/online,2783,0.33,0.375,0.115,0.035,0.02,0.125,0,0.435,0.565
20–23 Jan 2022,2022-01-20,2022-01-23,Essential,Online,1062,0.36,0.37,0.08,0.03,0,0.09,0.08,0.43,0.5
4–16 Jan 2022,2022-01-04,2022-01-16,Roy Morgan,Telephone/online,2791,0.345,0.37,0.12,0.03,0.005,0.13,0,0.44,0.56
11–15 Jan 2022,2022-01-11,2022-01-15,Resolve Strategic,Online,1607,0.34,0.35,0.11,0.03,0,0.17,0,0,0
8–13 Dec 2021,2021-12-08,2021-12-13,Essential,Online,1095,0.36,0.36,0.09,0.04,,0.06,0.08,0.45,0.47
"11–12, 18–19 Dec 2021",2021-12-12,2021-12-19,Roy Morgan,Telephone/online,0,0.345,0.37,0.115,0.04,,0.13,0,0.445,0.555
1–5 Dec 2021,2021-12-01,2021-12-05,Essential,Online,1094,0.38,0.35,0.1,0.03,,0.07,0.08,0.45,0.48
"27–28 Nov, 4–5 Dec 2021",2021-11-27,2021-12-05,Roy Morgan,Telephone/online,2805,0.345,0.36,0.125,0.035,,0.135,0,0.435,0.565
1–4 Dec 2021,2021-12-01,2021-12-04,Newspoll-YouGov,Online,1518,0.36,0.38,0.1,0.03,,0.13,0,0.47,0.53
17–21 Nov 2021,2021-11-17,2021-11-21,Essential,Online,1095,0.36,0.37,0.1,0.04,,0.07,0.07,0.45,0.48
17–21 Nov 2021,2021-11-17,2021-11-21,Resolve Strategic,Online,1781,0.39,0.32,0.11,0.03,,0.14,0,0,0
"13–14, 20–21 Nov 2021",2021-11-13,2021-11-21,Roy Morgan,Telephone/online,2795,0.355,0.355,0.12,0.035,,0.135,0,0.445,0.555
10–13 Nov 2021,2021-11-10,2021-11-13,Newspoll-YouGov,Online,1524,0.37,0.38,0.11,0.02,,0.12,0,0.47,0.53
3–7 Nov 2021,2021-11-03,2021-11-07,Essential,Online,1089,0.35,0.37,0.09,0.03,,0.06,0.1,0.44,0.46
"30–31 Oct, 6–7 Nov 2021",2021-10-30,2021-11-07,Roy Morgan,Telephone/online,2723,0.365,0.35,0.115,0.03,,0.14,0,0.465,0.535
20–24 Oct 2021,2021-10-20,2021-10-24,Essential,Online,1781,0.37,0.36,0.1,0.03,,0.08,0.06,0.44,0.49
20–24 Oct 2021,2021-10-20,2021-10-24,Resolve Strategic,Online,1600,0.37,0.34,0.11,0.03,,0.14,0,0,0
"16–17, 23–24 Oct 2021",2021-10-16,2021-10-24,Roy Morgan,Telephone/online,2778,0.365,0.35,0.135,0.035,,0.115,0,0.46,0.54
20–23 Oct 2021,2021-10-20,2021-10-23,Newspoll-YouGov,Online,1515,0.35,0.38,0.11,0.03,,0.13,0,0.46,0.54
6–10 Oct 2021,2021-10-06,2021-10-10,Essential,Online,1097,0.36,0.34,0.09,0.04,,0.08,0.09,0.45,0.46
"2–3, 9–10 Oct 2021",2021-10-02,2021-10-10,Roy Morgan,Telephone/online,2794,0.375,0.36,0.115,0.03,,0.12,0,0.47,0.53
29 Sep–2 Oct 2021,2021-09-29,2021-10-02,Newspoll-YouGov,Online,1545,0.37,0.37,0.11,0.02,,0.13,0,0.47,0.53
22–26 Sep 2021,2021-09-22,2021-09-26,Essential,Online,1094,0.38,0.36,0.09,0.03,,0.06,0.06,0.46,0.48
"18–19, 25–26 Sep 2021",2021-09-18,2021-09-26,Roy Morgan,Telephone/online,2752,0.36,0.36,0.125,0.035,,0.12,0,0.46,0.54
15–19 Sep 2021,2021-09-15,2021-09-19,Resolve Strategic,Online,1606,0.39,0.31,0.1,0.04,,0.16,0,0,0
15–18 Sep 2021,2021-09-15,2021-09-18,Newspoll-YouGov,Online,2144,0.37,0.38,0.1,0.03,,0.12,0,0.47,0.53
8–12 Sep 2021,2021-09-08,2021-09-12,Essential,Online,1100,0.38,0.34,0.08,0.04,,0.08,0.08,0.46,0.46
"4–5, 11–12 Sep 2021",2021-09-04,2021-09-12,Roy Morgan,Telephone/online,2735,0.395,0.35,0.13,0.03,,0.1,0,0.475,0.525
